,date,content,retweetCount,coordinates
4,2021-02-04 17:13:55+00:00,"🔴 Le #ConseildeParis a adopté à l'unanimité le vœu de l’exécutif que je présentais au sujet du projet de Centre d’archives #LGBTQI+ porté par @LgbtqiArchives 🇫🇷🇪🇺🏳️‍🌈🏳️‍⚧️.

👉 @Paris doit identifier un lieu avant la fin 2021 pour accueillir cette structure sous gestion autonome. https://t.co/pa26r05ULo",60,"{'longitude': 2.352372407913208, 'latitude': 48.85647757431556}"
5,2020-11-02 14:49:20+00:00,"Nous nous associons à l'hommage rendu aujourd'hui dans les écoles par les enseignants et les élèves de France à #SamuelPaty, professeur victime du terrorisme islamiste. Nous proposerons au #ConseildeParis qu'un lieu de la capitale porte désormais son nom. 
@Anne_Hidalgo #Paris https://t.co/op9F1sPeZQ",60,"{'longitude': 2.352372407913208, 'latitude': 48.85647757431556}"
6,2020-02-09 15:06:12+00:00,"Le parcours d’une vie, dans un pays, #Haïti qui a passé son temps à se défendre du regard que l’on a porté sur lui. Présentation du livre de Georgia Makhlouf, journaliste littéraire, enseignante universitaire et auteure de ▶️ Port-au-Prince Aller-Retour  #Model2020 @MODEL_Livres https://t.co/InY03RNk7A",2,"{'longitude': 2.3528820276260376, 'latitude': 48.856507905992295}"
7,2019-11-26 05:09:20+00:00,"Le @MuseeArtMelun avec son #artothèque est partenaire du développement d’un réseau de #GaleriesDEtablissement pour les #collèges et #lycées de Seine-et-Marne, un projet porté par les professeurs d’#Artsplastiques de l’@AcCreteil. @igartsplastique @Ig_EAC_PhGalais #E_LROA https://t.co/0mMmBPJMdi",5,"{'longitude': 2.352222, 'latitude': 48.856613}"
8,2019-10-14 16:18:01+00:00,"🥀 #hello 🥀 Salut, salut, je vous souhaite une excellente semaine 💓💓💓 Aujourd’hui, je porte l’accessoire très Fashion de chez alexandredeparis_official #serretête #handmzdeinfrance #partenariat #produitoffert… https://t.co/LWwkW5eEaC",0,"{'longitude': 2.352222, 'latitude': 48.856389}"
9,2019-09-14 00:10:38+00:00,"#ESCRS19 Venue: Pavilion 7, Paris Expo Porte de Versailles 
Address: 1 Place de la Porte de Versailles 75015 Paris
Please note: this is a newly built congress centre and not the same venue as the 2010… https://t.co/oo3KBa0iMW",0,"{'longitude': 2.35212564, 'latitude': 48.85652699}"
10,2019-09-12 13:11:24+00:00,"#ESCRS19 Venue: Pavilion 7, Paris Expo Porte de Versailles 
Address: 1 Place de la Porte de Versailles 75015 Paris
Please note: this is a newly built congress centre and not the same venue as the 2010… https://t.co/nyjmPvPI8Q",0,"{'longitude': 2.35212564, 'latitude': 48.85652699}"
11,2019-09-12 13:11:13+00:00,"#ESCRS19 Venue: Pavilion 7, Paris Expo Porte de Versailles 
Address: 1 Place de la Porte de Versailles 75015 Paris
Please note: this is a newly built congress centre and not the same venue as the 2010… https://t.co/eZBdYyorsk",0,"{'longitude': 2.35212564, 'latitude': 48.85652699}"
12,2019-09-12 04:13:19+00:00,"#ESCRS19 Venue: Pavilion 7, Paris Expo Porte de Versailles 
Address: 1 Place de la Porte de Versailles 75015 Paris
Please note: this is a newly built congress centre and not the same venue as the 2010… https://t.co/qzKKaoamNl",0,"{'longitude': 2.35212564, 'latitude': 48.85652699}"
13,2019-09-12 04:13:07+00:00,"#ESCRS19 Venue: Pavilion 7, Paris Expo Porte de Versailles 
Address: 1 Place de la Porte de Versailles 75015 Paris
Please note: this is a newly built congress centre and not the same venue as the 2010… https://t.co/KU3hVZDPi4",0,"{'longitude': 2.35212564, 'latitude': 48.85652699}"
14,2019-09-11 22:21:17+00:00,"#ESCRS19 Venue: Pavilion 7, Paris Expo Porte de Versailles 
Address: 1 Place de la Porte de Versailles 75015 Paris
Please note: this is a newly built congress centre and not the same venue as the 2010… https://t.co/buHhSheOHJ",0,"{'longitude': 2.35212564, 'latitude': 48.85652699}"
15,2019-09-11 22:18:07+00:00,"#ESCRS19 Venue: Pavilion 7, Paris Expo Porte de Versailles 
Address: 1 Place de la Porte de Versailles 75015 Paris
Please note: this is a newly built congress centre and not the same venue as the 2010… https://t.co/EP3ovY9OFl",0,"{'longitude': 2.35212564, 'latitude': 48.85652699}"
16,2019-06-19 09:37:12+00:00,"@Bouuuboule Ftg p'tite pute moi j'donne pas juste le nom de ma ville je donne un lieu, t'as le choix porte de Vanves, Didot, ou porte d'Orléans Paris 14e j't'att",0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
17,2019-02-11 06:15:59+00:00,"Manif en cours à porte de Clignancourt des auto écoles la cavalerie arrive , en espérant qu'ils ne se fassent pas tirer comme des canards",0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
18,2018-12-11 07:42:08+00:00,Selfie 🤳 Vous aimez les #sweat moi je suis une fille à sweat j’en porte tout le temps j’en ai de 3 couleurs différentes mais j’ai une préférence pour les gris celui-ci est un nouveau et… https://t.co/QbpssVVBOD,0,"{'longitude': 2.352222, 'latitude': 48.856389}"
19,2018-09-14 10:23:29+00:00,#Marseille et ses symboles magnifiquement représentés sur la façade art-déco du Palais de La Porte Dorée à #Paris. #PartoutCestChezNous https://t.co/MAfSavVimu,4,"{'longitude': 2.3522219, 'latitude': 48.856614}"
20,2017-03-11 20:11:48+00:00,"Quelle porte?

#officersbliss #honeymoon #lunedemiel #mojoinparis #doorart #paris @ Hôtel de… https://t.co/IIVC4O6agd",0,"{'longitude': 2.352222, 'latitude': 48.856389}"
21,2016-05-09 12:22:15+00:00,"Porte à porte @ Hôtel de Ville, Paris https://t.co/NTmsoBzlE5",0,"{'longitude': 2.35222222, 'latitude': 48.85638889}"
22,2015-01-09 16:59:56+00:00,Quand tu vois Porte de Vincennes a trois arrêt de la ou tu dois descendre !,1,"{'longitude': 2.35280321, 'latitude': 48.8568673}"
23,2014-09-24 20:24:11+00:00,"Simon Porte Jacquemus Sighting: Paris, France/ Paris Fashion Week Womenswear Spring/Summer 2015 http://t.co/fkZ8cmyJDn",0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
24,2014-03-26 15:05:50+00:00,"«Quelqu'un pourrait remercier ce gouvernement de branquignols qu'on devrait tous mettre à la porte?». Anne Hidalgo, 23 mars 2014.",0,"{'longitude': 2.35183388, 'latitude': 48.85707094}"
25,2013-10-20 19:01:31+00:00,Lyon-Bordeaux &gt; la porte vers l'Enfer.,0,"{'longitude': 2.352222, 'latitude': 48.856614}"
26,2013-09-21 15:21:24+00:00,"Stéphane Guy, la haine qu'il porte envers l'OM, c'est incroyable.",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
27,2013-09-02 09:43:44+00:00,"Seydoux, à toujours laisser la porte ouverte pour Thauvin.",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
28,2013-08-16 22:30:44+00:00,"La porte ne veut pas s'ouvrir
Sûrement un coup des égyptiens
Ah non, c'est bon :) #YahiaVoice",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
29,2013-08-06 21:47:42+00:00,"MDR Par la FIFA aussi, nan ? Suce ns RT @lichaa69:  L'OM sera condamné par la FFF, LFP mais aussi l'UEFA pour Gomis, l'OL a porté plainte.",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
30,2013-07-02 23:18:02+00:00,Snowden voit choix diminution de refuge et de « sa porte ouverte est de nous retourner » http://t.co/h2OUTXwc4y,0,"{'longitude': 2.35261917, 'latitude': 48.85703523}"
31,2013-06-04 19:31:27+00:00,"Les lunettes quelle porte, c'est le truc qui me stresse le plus, après les pigeons. #PopStars",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
32,2013-06-04 16:50:38+00:00,Il l'a fait... Bruno porte bonheur. (with Marie and Bruno at @Paris) [pic] — http://t.co/6RJqBD0uqh,0,"{'longitude': 2.35211492, 'latitude': 48.85649875}"
33,2013-05-08 00:08:26+00:00,L'idée de monter un réseau avec les pak-pak de porte de bagnolet. Il est temps pour eux de distribué de la HD.,1,"{'longitude': 2.352222, 'latitude': 48.856614}"
34,2013-04-23 06:59:09+00:00,Les lions garde la porte http://t.co/GdJo175GyR #Assis #Hôtel de ville #Lion #Paris #Porte #Photo #Photographie #Image,0,"{'longitude': 2.353255, 'latitude': 48.856131}"
35,2013-04-07 00:12:19+00:00,"Tu porte du YMCMB, mais tu lutte pour te payer un grec.

#RetourneAuVestiaire",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
36,2013-04-06 01:46:07+00:00,"Mais vu le maillot que porte le gars sur sa pp, je suis même pas surpris par ce tweet...",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
37,2013-04-03 23:37:02+00:00,"Encore une fois, je cautionne pas les tweets de Joseph Barton sur T.Silva, mais faut arrêter l'acharnement, balayons devant notre porte.",2,"{'longitude': 2.352222, 'latitude': 48.856614}"
38,2012-10-15 16:11:02+00:00,Entre la couverture du periph porte maillot et le tram à porte d'asnieres je préfère le TRAMWAY #conseildeparis,0,"{'longitude': 2.35145691, 'latitude': 48.85675346}"
39,2012-09-10 04:46:29+00:00,"UE / ECONOMIE: Pour l'économiste Joseph Stiglitz, l'austérité est un mauvais coup porté à l'Europe http://t.co/hJuuVg1T
 via @RFI",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
40,2012-08-31 16:41:38+00:00,Une ligne de tramway nommé désir pour bientôt...: Bonne nouvelle pour les parisiens qui habitent entre la Porte ... http://t.co/jeKMD9WF,0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
41,2012-08-04 00:34:38+00:00,"C'est quoi ce couple, ils se tapent pour une porte.",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
42,2012-07-28 00:21:06+00:00,"Voilà, c'est la porte-drapeau de l'Irak elle mérite pleins de médailles d'or juste pour son visage. #lt",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
43,2012-07-28 00:17:45+00:00,"Il y a une porte-drapeau qui m'a troubler, je sais plus c'était quel pays. #JO2012 #TropBelle",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
44,2011-11-03 13:56:24+00:00,Paris | Objets perdus | Porte feuille perdu autoroute Lyon Paris:  http://t.co/HB8AiOed,0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
45,2011-08-19 07:21:04+00:00,Paris | Objets perdus | Perdu porte feuille:  http://t.co/wRJuiVS,1,"{'longitude': 2.3522219, 'latitude': 48.856614}"
46,2011-08-18 11:11:09+00:00,Paris | Objets volés | Porte feuille volé à Gare du Nord RER:  http://t.co/AgvtsBs,1,"{'longitude': 2.3522219, 'latitude': 48.856614}"
0,2022-02-10 11:00:49+00:00,Nous avons également voté favorablement une délibération essentielle à l’organisation des jeux @Olympics &amp; @Paralympics avec la matrice de responsabilité entre la ville de @Paris &amp; @Paris2024 ! Une étape importante dans l’optique du plus grand événement jamais organisé par la 🇫🇷 https://t.co/B1TNBGd0Nk,4,"{'longitude': 2.352372407913208, 'latitude': 48.85647757431556}"
1,2021-11-10 19:14:36+00:00,Un prix est également remis à @rach_artis pour ses nombreuses actions de terrain depuis de nombreuses années. Bravo a elle ! https://t.co/fxNKzvxpT9,5,"{'longitude': 2.3528820276260376, 'latitude': 48.856507905992295}"
2,2021-06-22 08:01:41+00:00,"Les violences sexistes et sexuelles et la pédo-criminalité touchent tous les milieux sociaux et lieux de sociabilité, donc le monde sportif également.",0,"{'longitude': 2.352372407913208, 'latitude': 48.85647757431556}"
3,2020-01-29 10:24:01+00:00,"#NouvelAnChinois 🏮

L'équipe de @LaREM_Paris13 vous souhaite une bonne année du rat 🐭

Le rat, animal symbole d’abondance et d’intelligence. 

C'est également pour exprimer notre solidaire en ces temps de crise de #coronavirus en Chine que nous étions présent 🙏 https://t.co/lGJKjKoLKe",9,"{'longitude': 2.3528820276260376, 'latitude': 48.856507905992295}"
4,2019-11-27 09:59:31+00:00,"Hiba Farès, Directrice expérience clients @ratpgroup au #ForumCityLife : « L’arrivée du prolongement au nord de la #ligne14 permettra de désaturer la #ligne13. Les rames de la ligne 14 vont également passer de 6 à 8 voitures afin d’augmenter la capacité voyageurs. 🚇» #RATP https://t.co/xjRX7JQtWD",1,"{'longitude': 2.352372407913208, 'latitude': 48.85647757431556}"
5,2019-11-03 01:13:17+00:00,Use the #mindmapping 🗺️🗺️. Utilisez la mind map pour vos tutoriels.. Cet outil est une #révolution dans les idées quand une y pense... Vous pouvez choisir en fond également la tendance que vous choisissez pour votre… https://t.co/DoxxdXMKge,0,"{'longitude': 2.35212564, 'latitude': 48.85652699}"
6,2019-06-21 09:28:57+00:00,"En cette journée spéciale « Fête de la Musique » 🥳 (mais également journée internationale du Yoga : « namasté les yogis ! » 🧘🏽‍♀️), dites-nous en commentaire quelles chansons vous donnent des ailes pendant vos… https://t.co/NbTQpLuxve",0,"{'longitude': 2.352222, 'latitude': 48.856389}"
7,2013-07-08 12:18:04+00:00,"Exercice, également en été : conseils pour l’exercice en plein air malgré la quantité de chaleur http://t.co/mdq8V0TIyH",0,"{'longitude': 2.35261917, 'latitude': 48.85703523}"
8,2013-06-26 23:48:03+00:00,Federer continue le chemin d’accès de Nadal et tombe également à Wimbledon http://t.co/R5qMVgvbDA,0,"{'longitude': 2.35261917, 'latitude': 48.85703523}"
9,2012-07-04 23:09:44+00:00,RT @infosutiles_: Les moustiques ne vous mords pas seulement. Ils vous urine également dessus après vous avoir sucé le sang. &lt; Saaaaaaale !,0,"{'longitude': 2.352222, 'latitude': 48.856614}"
0,2022-03-09 13:08:38+00:00,"🌿🕊
le printemps arrive
il est revenu

sous le ciel de Paris
le magnolia a refleuri

à l’Est aussi le beau printemps 
est revenu dans la tourmente
et partout dans le vent
et dans les branches fleuries

je l’entends qui chante
et crie dans le ciel si lourd
le doux mot de liberté https://t.co/q9W4ZYw9fc",7,"{'longitude': 2.352147102355957, 'latitude': 48.85573637272137}"
1,2021-10-31 08:21:35+00:00,"L’Hôtel-de-Ville de Paris s’est transformé hier en immense fête pour le Bal des Fiertés avec le @mag_jeunes_lgbt !

Avec @Anne_Hidalgo, nous sommes engagés à faire de Paris une capitale arc-en-ciel 🏳️‍🌈🏳️‍⚧️ alors que des atteintes sont portées partout aux droits des personnes #LGBT+. https://t.co/3qV9Zlmm6o",34,"{'longitude': 2.352372407913208, 'latitude': 48.85647757431556}"
2,2021-06-05 13:18:11+00:00,"Partout où l'oeil se pose, le mobilier urbain, si emblématique de la ville lumière, se dresse fièrement #saccageparis https://t.co/JL6OIdELgf",9,"{'longitude': 2.351656181823647, 'latitude': 48.85700999748231}"
3,2020-07-10 16:23:48+00:00,@Marco_cgr Partout en France...et ce n'est qu'un début #remaniement #DarmaninDemission #Dupondmorettidemission,0,"{'longitude': 2.352372407913208, 'latitude': 48.85647757431556}"
4,2019-11-12 20:11:43+00:00,"Clôture des #tropheesESS de @Paris par @antoinetteguhl ! 
Bravo à elle à toute son equipe et les services de la ville qui ces 5 dernières années ont fait beaucoup pour developper #ESS parisienne et donc partout dans le monde 💪 https://t.co/FNPUFxTaB5",4,"{'longitude': 2.35337696, 'latitude': 48.85625404}"
5,2019-07-09 12:15:12+00:00,"Maintenant disponible partout.
@its_motm remix Ep. à Ville de Paris https://t.co/iBdRz6QM1M",0,"{'longitude': 2.35212564, 'latitude': 48.85652699}"
6,2018-11-08 20:59:36+00:00,#hoteldevilleparis #paris #parismaville #luxe #parismonamour #architecture ... un lieu où le luxe à la française et partout derrière des lustres imposants derrières des tentures dorées… https://t.co/EVOep94tyZ,0,"{'longitude': 2.352222, 'latitude': 48.856389}"
7,2018-01-18 18:10:37+00:00,"Je tiens à saluer l’ensemble des agents de @SNCFReseau qui assurent le service de l’entreprise, chaque jour, jour et nuit, par tous les temps, partout en France. @SNCFReseau, c’est une entreprise engagée 365 jours par an, 7j/7, 24h/24.",16,"{'longitude': 2.3522219, 'latitude': 48.856614}"
8,2015-04-03 19:32:28+00:00,J'ai envie de pleurer du 100 je cherches de partout degun a des places,1,"{'longitude': 2.3522219, 'latitude': 48.856614}"
9,2014-06-10 15:48:27+00:00,@AliceEucalyptus je devais aller partout j'ai attendu des heures j'ai marché sous la pluie et tout,0,"{'longitude': 2.35157184, 'latitude': 48.85673628}"
10,2014-05-12 13:48:47+00:00,@HeleneWorldWine @AGrenouillere 😉rassurant de voir qu'il pleut partout ! Bon courage et surtout bon aprèm !,0,"{'longitude': 2.35283216, 'latitude': 48.8556965}"
11,2013-11-19 00:18:04+00:00,Fin de soirée avec passe-partout 😉🎉🍷 @ Paris http://t.co/yjqzY2i8Lo,0,"{'longitude': 2.35206127, 'latitude': 48.85644228}"
12,2013-09-22 14:36:53+00:00,"Pendant qu'il fait beau partout en France ... il fait moche à Paris, pour changer 😩 #badweather… http://t.co/j6qEjUDlN1",0,"{'longitude': 2.35206127, 'latitude': 48.85644228}"
13,2012-11-30 11:50:36+00:00,@parisba engagé contre toutes les violences faites aux femmes partout dans le monde  @ Hôtel de Ville de Par http://t.co/CJ6wTpYQ,0,"{'longitude': 2.35242605, 'latitude': 48.85647052}"
14,2012-06-21 10:06:03+00:00,RFI: FRANCE / CULTURE: La trentième Fête de la musique célébrée partout en France et dans le monde ce jeudi http://t.co/sw3vQ6qa,0,"{'longitude': 2.352222, 'latitude': 48.856614}"
0,2019-05-04 11:00:36+00:00,"Il est battu par les flots, mais ne sombre pas à Ville de Paris https://t.co/mzzxoeD0vn",0,"{'longitude': 2.35188, 'latitude': 48.85653}"
1,2017-08-25 12:27:08+00:00,#photography #deek #sombre à Ville de Paris https://t.co/kjKyWGnL0r,1,"{'longitude': 2.35212564, 'latitude': 48.85652699}"
2,2014-10-15 23:11:52+00:00,Très belle (bien que sombre) campagne de #MédecinsDuMonde sur la #précarité ... La France de tous les… http://t.co/pLaULYk3ga,0,"{'longitude': 2.35222222, 'latitude': 48.85638889}"
3,2013-12-18 21:19:43+00:00,"Il y a 100 x péno, sombre fdp",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
4,2013-10-14 21:58:32+00:00,"@FabDoosSantoos Sinon sucé des journalistes, je ne fait que ça sombre bâtard :)",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
5,2013-07-06 14:32:22+00:00,"Si il signe, soit le gars sombre totalement, ou au contraire il renverse le vélodrome.",2,"{'longitude': 2.352222, 'latitude': 48.856614}"
0,2021-06-18 13:31:55+00:00,"Le meilleur véhicule c'est celui que l'on ne produit pas mais que l'on rend plus vertueux ➡️ le retrofit est une réponse possible. Des 2 côtés du périph', nos élus sont mobilisés pour soutenir une filière porteuse de la transition! 🌻♻️🚗🚲
Cc @David_Belliard @LucDiGallo https://t.co/wQuDcdAOVS",9,"{'longitude': 2.351656181823647, 'latitude': 48.85700999748231}"
1,2020-10-07 07:46:49+00:00,"« Si cette ouverture totale de la Bièvre était rendue possible, une véritable trame verte et bleue pourrait ainsi traverser la Région. » #ConseildeParis https://t.co/1DaHcsUxWa",5,"{'longitude': 2.352372407913208, 'latitude': 48.85647757431556}"
2,2019-09-21 06:01:20+00:00,"[MORNING☀️] De bonne heure, de bonne humeur et directement chez-soi 🏡 Aujourd’hui avec starbucksathome_fr il est possible de profiter de moments gourmands à la maison grâce aux 20 produits disponibles en magasin et à… https://t.co/NtCFhTDapB",1,"{'longitude': 2.35212564, 'latitude': 48.85652699}"
